2024-11-25 23:09:52 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:52 - TCP - Source: 57.153.124.226, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:52 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:52 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: d4:a6:51:41:aa:fe, Destination: ff:ff:ff:ff:ff:ff, Size: 214 bytes
2024-11-25 23:09:53 - UDP - Source: 192.168.1.194, Destination: 255.255.255.255, Size: 214 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:53 - TCP - Source: 57.153.124.226, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 92 bytes
2024-11-25 23:09:53 - UDP - Source: 192.168.1.200, Destination: 86.51.35.24, Size: 92 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 212 bytes
2024-11-25 23:09:53 - UDP - Source: 86.51.35.24, Destination: 192.168.1.200, Size: 212 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 78 bytes
2024-11-25 23:09:53 - TCP - Source: 71.18.255.145, Destination: 192.168.1.200, Size: 78 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 82 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 71.18.255.145, Size: 82 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 54 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 571 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 571 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 54 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 66 bytes
2024-11-25 23:09:53 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 66 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 54 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 571 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 571 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 571 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 571 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 54 bytes
2024-11-25 23:09:53 - TCP - Source: 52.111.252.17, Destination: 192.168.1.200, Size: 54 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 54 bytes
2024-11-25 23:09:53 - TCP - Source: 52.109.68.129, Destination: 192.168.1.200, Size: 54 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 56 bytes
2024-11-25 23:09:53 - TCP - Source: 71.18.255.145, Destination: 192.168.1.200, Size: 56 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 153 bytes
2024-11-25 23:09:53 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 153 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 153 bytes
2024-11-25 23:09:53 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 153 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 491 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 491 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 491 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 491 bytes
2024-11-25 23:09:53 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 153 bytes
2024-11-25 23:09:53 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 153 bytes
2024-11-25 23:09:53 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 491 bytes
2024-11-25 23:09:53 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 491 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 384 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 384 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
